question,answer,question_vi,answer_vi
A crater on the far side of the Moon is named after a Chinese official who was (supposedly) the first person to travel into space. What was his name?,Wan Hu,Một miệng núi lửa ở phía xa của Mặt trăng được đặt theo tên của một quan chức Trung Quốc (được cho là) ​​là người đầu tiên du hành vào vũ trụ.Tên anh ấy là gì?,Vạn Hồ
A decrease in which of the following metrics might indicate increasing nearness to a state of vacuum?,Air pressure,Việc giảm số liệu nào sau đây có thể cho thấy trạng thái chân không đang ngày càng gần hơn?,Áp suất không khí
A human fingernail is made of which material?,Alpha-keratin,Móng tay của con người được làm từ chất liệu nào?,Alpha-keratin
"A robot may not injure a human being or, through inaction, allow a human being to come to harm. Which of Isaac Asimov’s Three Laws of Robotics is this?",First law,Robot không được gây thương tích cho con người hoặc nếu không hành động sẽ khiến con người bị tổn hại.Đây là định luật nào trong ba định luật về người máy của Isaac Asimov?,Luật đầu tiên
"According to Greek mythology, which two gods transformed into the “fish"" in the symbol of Pisces?",Aphrodite and Eros,"Theo thần thoại Hy Lạp, hai vị thần nào đã biến thành “con cá” trong biểu tượng của Song Ngư?",Aphrodite và Eros
"According to Maya chronology, the Late Late Preclassic Period falls within:",1 BCE to 159 CE,"Theo niên đại Maya, Hậu kỳ Tiền cổ điển rơi vào khoảng:",1 TCN đến 159 CN
"According to the tale of the She-wolf in Roman mythology, what came of the twins she nurtured, Romulus and Remus?",Romulus became the founder and first King of Rome,"Theo câu chuyện về Sói cái trong thần thoại La Mã, điều gì đã xảy ra với cặp song sinh mà cô nuôi dưỡng, Romulus và Remus?",Romulus trở thành người sáng lập và vị vua đầu tiên của Rome
"According to World Athletics, which of these is NOT an official international discus weight?",1.25kg,"Theo World Athletics, cái nào trong số này KHÔNG phải là hạng cân ném đĩa quốc tế chính thức?","1,25kg"
Acquiring Commander William I unlocks which of these achievements?,Path of Glory,Việc có được Chỉ huy William I sẽ mở khóa những thành tựu nào trong số này?,Con đường vinh quang
Advantages of Johannes Gutenberg’s printing press include all of the following except what?,Increase in church power,"Ưu điểm của máy in của Johannes Gutenberg bao gồm tất cả những điều sau đây, ngoại trừ điều gì?",Tăng quyền lực của nhà thờ
